Tag,Question,Responses 
Yo,Yo you seen the new guardians of the galaxy?,"DUDE YES Chris Pratt was the bomb!-I loved baby groot
Eh he's over rated
Dude he's freakin adorable
You sound gay bruh
Nah he's just a cute little fella
Well I like that buff grey dude
Bruh you gay
Hey!-Forget you!"
Hi,"Hey
Hi.","Do you like action movies?-Yeah sure love them.-Do you have an all time favorite.-Point Break has got to be up there.-Oh yeah, great movie.-I haven't seen it in a while.-I saw it recently and it is still great.-Yeah I bet."
The,Have you seen The Transporter?,"Yes, it is a classic
I really like Jason Statham movies.-He seems to play the same role in each movie
Yea, he is a really good actor when it comes to action movies
He is very tough, I like it.-Being a driver like that seems to be a great fit for him.-He was also good in The Mechanic
Yea, but I liked the original version a bit more
Most originals are way better, but his version was still entertaining."
Oh,"Oh, man.","That new Mummy...-There's a new Mummy too?-Man, I haven't seen Brendan Fraser for a while.-No, man.-He's not in it.-It's... different.-He's not?-So they rebooted another reboot?-Like Spider-Man?-Yeah, I don't know why they do this.-This is really bad.-Is it the same story?-Same characters and everything?-No.-I don't... know if it's the same as those old ones, but it's not like the Brendan Fraser ones.-What is it like, then?-Well, it's got Tom Cruise as a soldier in modern-day Iraq.-And... uh, it's got Jekyll and Hyde.-What."
Transformers,Has anyone seen the new Transformers movie yet?,"It just came out the 20th of June, so I plan on seeing it Friday!-DO you know who is playing in it?-Mark Wahlberg, Anthony Hopkins, Laura Haddock, Josh Duhamel are some of the names in this summer movie.-I noticed that this movie has grossed already $260 million dollars already and its not even toward the first weekend yet!-Wow.-These guys make so much money it's nuts!-Who was the director of it?-Michael Bay directed this one, he does an amazing job with directing.-I enjoy his movies as well.-Maybe we can go see it together?"
Team,The A-Team movie was on yesterday.,"Really, I love that movie.-It was a great extension from a not so great tv show.-Liam Neeson did a great job as Hannibal.-He is a top notch actor.-The fight scenes were intense although some of the action was over the top.-I agree.-The CGI graphics were a bit much some times.-The actor who played Mr. T's role looked just like the original.-He really did look like him.-This was definitely an underrated film that didn't get much attention.-It sure didn't get any critical acclaim."
The,Do you want to come watch The Dark Knight?,"Heck yes, I love that movie!-Me too, I must have watched it one hundred times.-I was never really a fan of Heath Ledger until The Dark Knight.-I don't know, he was pretty good in ""10 Things I Hate About You.""-Are you serious right now?-Kinda.-You would say something like that.-Seriously, I agree though, his role as the Joker was awesome.-I know it was.-I've seen every Batman movie and none of them can hold a candle to this one."
What,What is a good movie about the apocalypse?,I suggest you check out Terminator 2.-I heard that movie was scary.-It is scary because it could happen.-You should face your fears though.-I will.-What happens in this movie?-A robot goes back in time to try to destroy a man who will save humanity in the future.-That makes my brain hurt!-I already have enough trouble keeping up with today.-It isn't that bad.-There is good story progression.-Will it require more than one watches?-It might.-You will catch more if you watch it again.
Gone,Did you ever see Gone In 60 Seconds?,"No, who played in that?-It was a Nicholas Cage film.-He has really gone downhill as an actor.-Yes, but this was one of his earlier works.-Was this a reboot?-Yes, the original film came out back in the 70's.-Sometimes those turn out good and sometimes not.-Well this one is worth a watch.-I'll have to check it out."
Bill,I just saw Kill Bill on demand.,"No.-1 or 2?-1.-Wasn't Sonny Chiba cool?-Yes, but i loved Darryl Hannah.-The patch made her look awesome.-Lucy Liu was great.-Uma Thurman looked fabulous.-I'm going to watch 2 tonight.-That's a great idea."
Deadpool,I just saw Deadpool and really loved it.,"I did not get to see it yet but I have heard great things about it.-There is tons of action and Marvel Comics movies are always the way to go.-Ryan Reynolds is a wonderful actor I heard he did a great job.-Oh my, he really did!-You get to fall in love with the soft side of Deadpool.-I heard that Wade gets cancer in the movie, is that true.-It is true!-I don't want to spoil too much but he has a soft side and it's really sweet that he leaves for Vanessa's sake.-Does Wade and Vanessa get married at the end?-Well, she is really upset that he left her, but she's happy to have him back at the end.-I really need to watch this movie, I think I am going to rent it tonight and indulge myself."
Hello,Hello.,"Hi.-Do you enjoy action movies?-Yeah sure.-Have a favorite?-Not really, but I do like all of the 80's action movies.-Like Robocop and all that stuff?-Yeah movies like that.-Those take me back to my childhood.-Yeah I feel the same way."
Planet,I just saw Dawn of the Planet of the Apes.,"Who is the director?-Matt Reeves.-Who plays Caesar?-Andy Serkis.-Any big name star?-Gary Oldman.-Who plays Caesar's wife, Cornelia?-Judy Greer.-She's a good actress."
Unbreakable,"DId you watch the movie ""Unbreakable""?","Yes, that is the one with Bruce Willis as the Security Guard.-Yes, he did a good job.-I was expecting something like he usually does, but this one had a slow pace.-I really did not expect him to turn into a super hero, it really picked up on all the action and suspense, great ending
Did you catch the twist at the ending?-Kinda, can you fill me in a bit?-Well starts out Bruce is a security guard with one kid, and he and his wife are having issues.-He is on a train going to NYC, for an interview.-That is when the train wrecks and he is the only one, left alive.-Yes, and the reason he was left alive was that he had the powers of a superhero, but he had no idea.-Then he runs into the man that has the broken bone disease.-Who in turns in the end orchestrated the entire thing.-Bruce was the good guy and the other guy was MR. Glass."
music,I saw a movie called headshot.,"was it good?-yeah, it was the story of this really evil dude that kidnaps kids and turns them into henchmen.-that's bad.-so the kids are doing bad stuff?-they're adults when we see them.-they call the bad guy father but he's really twisted
twisted how?-he tosses the kids in a well and makes them kill each other for water or food.-the survivors form his gang.-that is twisted.yes.-One guy named Aldi or some like that tries to leave the gang I guess, subtitles.-foriegn film?-yeah, I think it may have been made in Jakarta or it was a place in the movie."
Russel,What is your favorite Russel Crow movie.,"Gotta go with Gladiator.-What an awesome flick!-Who was the emperor?-The guy who played Dumbledore?-No his son.-Oh, Pheonix!-Yeah, Joaquin Phoenix.-Now that boy can act.-Yeah, someone should give him an Oscar."
Woman,I'm so thrilled that the Wonder Woman movie is doing so well at the box office.,"Have you seen it?-No, but I want to.-I love action movies and super hero flicks.-I'm a big action movie fan, too.-I want to see The Mummy, too.-I can't believe Tom Cruise is still bankable as an action hero at his age.-Well, age is just a number.-He keeps himself in ridiculous shape.-Plus, action movies are mostly CGI now.-I guess.-I wish they'd revive the Die Hard series.-That would be amazing.-I love Die Hard.-I just watched the first Die Hard movie recently.-It never gets old."
Skull,I watched Kong Skull Island last night with my folks.,"That's the King Kong remake starring Tom Hiddleston and Brie Larson right?-That's the one, John Goodman and Samuel L. Jackson also star in it.-I heard John C. Reily is also in there.-He is in there he makes a surprise appearance, but his character was so funny.-Did you like the movie or was it just like the past remakes?-I actually enjoyed it a great deal.-It was very action packed, suspenseful, and I thought they did a great job avoiding some typical action movie cliches.-How was Kong?-Were they just trying to battle him the whole movie?-Kong was enormous!-They actually start out with you thinking Kong was the villain but you soon realize he's actually the hero.-Sounds amazing!-I'll have to try to catch it soon too."
The,Did you see they remade 'The Mummy'?,"Yeah, with Tom Cruise?-That's right.-Seems kind of soon to do a remake.-That's what I thought - the original didn't come out that long ago.-I guess Hollywood is struggling for good action movies.-Have you seen reviews?-I have, and they're not great.-That's what I thought.-Everyone is sick of remakes.-Not even Tom Cruise can save it - he isn't a box office pull anymore.-Yeah, in the 90s he was the ultimate action movie hero.-Tom Cruise did do a lot of great action movies."
Pirates,Have you seen the 1st Pirates of the Caribean movie?,"Yes I have, i love Johnny Depp in it.-I know, he is so cute, especially when he swings on things.-I liked when he was fencing with Will Turner.-Me too, what was his real name?-Orlando Bloom.-He played a good pirate.-Yes and he's cute too, especially when he was running in the cage ball.-I liked when he was 1st seen by Elizabeth as a boy.-Yes and when he was fighting with Jack Sparrow on the rafters.-But Jack Sparrow was cute when he said, ""Savvy""."
Alien,Do you like the Alien movie franchise?,"I love the Alien movies.-Ridley Scott is a genius.-I agree with that, and Sigourney Weaver is great as Ripley.-Those to me are some of the scariest movies of all time.-No arguments there.-I had no idea Prometheus was a prequel for the Alien movies.-It was?-I've never even seen Prometheus.-Oh you've gotta see it, it's a great movie.-Let's you know what happened before the original Alien.-Wow I've got to make it a point to see that one.-Have you seen Alien Covenant?-The brand new one?-Not yet but I heard it wasn't that great.-I don't like taking others' opinions for movies but I think I'll give it a try."
Transformers,Has anyone seen the new Transformers movie yet?,"No I didn't, who was playing this weekend?-Well Crrossroads and also Regal is playing it.-What is the story line on this one?-Humans are at war with the Transformers, and Optimus Prime is gone.-The key to saving the future lies buried in the secrets of the past and the hidden history of Transformers on Earth
I hope Mark Wahlburg is playing in this one, he was great in the last movie.-Yes, he is coming back, and Josh Duhamel plays beside him in this with Anthony Hopkins too!-I am so going to see that on the big screen!-Yes, I think its the only real way to see an action movie like this.-To do it justice, yes it is!"
Extortion,"Did you see the movie ""Extortion""?","The one about the man and wife and boy on vacation in the Caribean?-Yes and they got stranded on an island with no gas or water until those guys pull up in a boat.-That was crazy, wanting a million dollars to save them.-Yeah but it was crazier when they tried to kill him by locking him in the boat and sinking it.-That guy had like 9 lives through the whole movie.-I know, and the whole time his wife and kid are still on the island.-He went through hell, getting shot, stabbed, hooked, and still survived.-and that mexican he found that knew where the island was gets hit by a truck.-Yeah that was stupid, and whispers his last words where his family was."
Do,Do you like martial arts movies?,They are pretty good.-I would check out Drunken Master.-Who is in that?-Jackie Chan plays a martial artist who fights while drunk.-I love Jackie Chan!-When did this come out?-A long time ago.-It's a classic movie with hilarious dubbing.-Jackie Chan is so nice.-I would love to meet him.-There is a reason he is as famous as he is.-I wish more people were like Jackie Chan!
Wonder,Have you seen the latest Wonder Woman movie?,"Yes, I saw it over the weekend with my husband.-We both loved it.-Have you?-Yes, I went last week.-I thought it was one of the best super hero movies I have seen in a while.-I agree, great casting with the two leads in particular.-I love Chris Pine.-Me too.-I wish his character wasn't killed off.-But he did a fantastic job.-I know.-I think it had some of the best fight scenes I had seen in a while.-I love how strong and able the women were.-Me too.-It was great to see Robin Wright to so well.-She was incredible and the lead was outstanding.-I have never seen her in anything other than the Batman V. Superman movie where she played Wonder Woman.-I saw her in that too.-She did not catch my attention as much, but I remember she was good.-She was, but this was by far a more demanding movie.-What a fantastic role model for young girls.-She is so capable."
James,Do you like James Bond movies?,"Yeah, those are classics.-What's your favorite Bond film?-I liked Goldeneye alot.-Who played that Bond again?-Pierce Brosnan played Bond in that one.-Oh, it's hard to keep track of all the Bonds.-I know they always seem to be changing.-I think Daniel Craig is the most recent Bond.-Casino Royale was a great movie."
Which,Which do you think was better out of these two movies?,The first or second John Wick movies?-I honestly preferred the second John Wick movie.-I did as well.-The mannerisms Keanu Reeves had in the second John Wick movie were really odd.-Yeah and so was the story line in some ways.-I feel like the second one should of been the prequel.-Indeed.-The second John Wick movie felt like it needed to end on a cliffhanger to have another sequel just to do well.-I still liked the soundtrack score for both movies.-The soundtrack for this action movies was one of the better ones for sure.-It reminded me of some of the video games that become movies like Max Payne.-What did you think of the action movie Max Payne?-I liked it a lot but it left me wanting sequels.
Hi,Hi.,Hey there.-Do you like the action movie genre?-I like it alright I guess.-What was the last action movie that you saw?-I saw the avengers civil war.-Did you like it?-Yeah I thought it was decent.-I haven't seen it yet.-It's pretty solid.
What,What is your favorite action movie?,"I really like Gladiator.-Braveheart will probably come second.-Gladiator is one of my favorites too.-It was just a well-done movie from the beginning to end.-I still get teary-eyed when I saw the last scene of Maximus' friend burying Maxmimus' small carvings of his family.-One action movie that I love that doesn't get enough credit is Conan the Barbarian.-Conan the Barbarian?-Is that the movie with NBA Basketball player Wilt Chamberlain?-No, that was the sequel to Conan the Barbarian.-The name was Conan the Destroyer.-Conan the Destroyer was absolutely awful.-James Earl Jones did a great job portraying the villain Thusla Doom in Conan the Barbarian.-He made the movie for me.-The actions scenes in the movie were great too.-Arnold Schwarzenegger was in his prime then."
What,What would you consider an iconic action movie or series?,"I have really enjoyed the Die Hard series.-They weren't all stellar, but when they hit, they were really enjoyable.-The first one was such a classic.-I didn't watch Bruce Willlis much on that TV show he did, but I really thought he made a great transition to films with Die Hard.-I loved how the filmmakers weren't afraid to blow a ton of shit up, and they ended up basically destroying the entire bulding by the end.-I've watched the film many times, and it's amazing how beat up John gets over the course of the film, but he keeps on fighting, and he's really believable.-I agree with you there.-John was a really credible, realistic hero, and you could feel his pain and frustration and determination to get the bad guy.-And what a great bad guy!-I love that he was urbane and witty and cultured and in the end, all he wanted was a shitload of money.-That movie really stands the test of time, too.-The fight sequences were epic.-Guns, fights, lots of action, the hero reuniting with his estranged wife, the cop sidekick, the wisecracking FBI guys.-A great movie all around.-I think Bruce Willis really eanred his rep as an action hero in this and subsequent movies."
Ones,"I cannot stand some directors
Like who
Ones that ruin franchises
What franchise was ruined
Transformers
How was it ruined
Michael bay turned it into explosions the movie
But they are cool
Not it is lame
Whatever you say",
Die,What do you think of the Die Hard franchise.,"The Christmas movies?-What?-No, the action films.-Yes, but they are Chritmas movies as well.-No, they are action.-Police and guns and terror.-All set at Christmas time.-An action Christmas movie.-The first one did happen during an office Christmas party.-Yes, and the second one, Christmas time as well.-Well, did you like them.-All I can say is, they are my favorite Christmas action films."
Hi,Hi.,"Hey.-You like action movies?-Sure do.-Cool me too.-Do you have one you like the best?-I really love lethal weapon.-Oh nice, that is a classic.-The old buddy cop action movies are my favorite.-I love those."
Thats,"I love all the taken movies
Me too
""I dont know who you are...""
Thats classic
They were so good
They were, they need to make more of those
I would watch them
Same here
I own them all
I want to buy them",
Jason,How many Jason Bourne movies have they made?,"Four I think.-The whole franchise has kind of run together at this point.-I'd agree.-Seems like they are out of ideas as he can only run from the government so much.-And Matt Damon ain't getting younger.-He must be at least 40 now.-The age doesn't bother me, but I just don't think there's much more of a story to tell.-The last movie was a bit of a drag.-Yeah, felt like a 'been there, done that' type of thing.-At least you get to see a lot of worldly locations in the films.-Very true - haven't seen them in Utah yet."
James,Who's your favorite James Bond?,"Sean Connery, without a doubt!-Mine too, but Roger Moore was pretty good.-I think he did more Bond films than the rest of them put together.-Who's next in line?-Well Craig has been doing it...-He's gotta be about ready to give it up.-I thought I read that he was done after Spectre.-They'll probable offer him a ton of money.-I'll bet!"
Da,I just saw The Da Vinci Code.,"Based on the Dan Brown novel?-Yes.-Who's the French girl in that?-Audrey Tautou, from Amelie.-Right, with the ever cool Tom Hanks.-Yes, directed by Opie himself, Ron Howard.-What was the weird religiou group?-Opus Dei.-Right, I think there is a real group by that name."
Tom,Have you seen that new movie with Tom Cruise?,"I don't think I have, whats it called?-The Edge of Tomorrow.-Oh, I have actually heard of that.-Is it any good?-Yes, I loved it.-A lot of action.-What is it about?-Basically machines from an alien planet are taking over the world and they can predict all human movements.-Wow, that really sounds intense.-Yep, I highly recommend watching it.-I will have to check it out sometime."
The,"Were you a big fan of The Matrix
I liked the first one, but the other ones were pretty bad
Yeah, the first one was really new and fresh
Had a lot of cool special effects
Not sure if I ever followed the actual story line
Right, when you strip out all the action and effects, the story line is pretty lame
Something about red and blue pills
Well there's that and how the world isn't what it seems
Yeah, pretty weird
Too sci fi for my taste",
Have,Have you ever seen any action movies from the 70s?,"I saw The French Connection.-I think I've heard of it.-Who is in that?-Gene Hackman stars and Roy Scheider costars.-Would you recommend it?-Absolutely.-The chase scenes are very well done and the acting was top notch.-I've heard about the chase scene that's supposed to be one of the best ever.-Yeah, it is as good as they say in my opinion.-What did you think of Gene Hackman?-He was fantastic, as always."
Jurassic,What do you think of the Jurassic Park sequels?,"Lost World was okay.-What did you think of the third?-It's underrated.-It's pretty entertaining, I think.-I just don't like that Tea Leoni is in it; I don't like her.-Me neither.-Jurassic World was a lot of fun to watch but doesn't stand up over time.-Really?-Yeah, I own it, and watched it twice, but not in over a year.-Why?-Too unbelievable, bad parenting like crazy."
Matrix,What did you think of the final Matrix movie?,"Revolutions?-Yup, that one.-It was too preachy.-I think it would have been fine if they didn't rush it.-What do you mean?-Remember, parts 2 and 3 came out in May and November of the same year?-That explains the crap CGI.-The script, too, it was awful.-Could have been less obvious with the Jesus reference, too."
What,What's the best action movie ever made?,"Die hard without a doubt.-Why die hard?-I mean I enjoy it, but best of all time?-John McClane is such a great action character and Bruce Willis is great in the role.-I'll give you that, but better than some of Jackie Chan's early stuff?-Better than The Terminator?-It's absolutely better than both, don't get me wrong I love Arnold's classic Terminator role as much as the next guy.-I would take any of The Terminator films over any of The Die Hard Films.-Even the one that didn't include Arnold Schwarzenegger in the cast at all?-Absolutely, Die Hard just never really did it for me in a major way.-You're missing out, John McClane would totally terminate the Terminator"
Hey,"Hey, what was the movie where the guy went on a rampage after his dog got killed?","I think you are thinking of John Wick.-Yep, that's the one!-Have you seen it yet?-I was thinking about it.-Is it good?-Yeah it's fantastic.-What's so good about it?-There's a vast underground world of assassins which John Wick has to navigate and interact with.-Oh that does sound fun.-Are the fight scenes good?-Yeah, the action scenes are some of the best i've ever seen."
Magnificent,I saw The Magnificent Seven last night on DVD.,"The reboot?-Yes, not the 1960 version with Yul Brynner.-Who directed?-Antoine Fuqua.-Who plays the leader?-Denzel Washington.-Who is the side kick?-Chris Pratt.-I hope it was as good as the original.-Probably not."
Jones,Indiana Jones is my favoeite action movie.,"What was the best parts of Indiana Jones?-:Remember when the bad guy pulls out 2 swords and start swinging them in a crazy way?-Yeah, Indiana just pulls out his gun a shoots him.-Hilarious.-What was  your favorite part?-When the bad guys open the Ark even though Indy told them not to and their faces melted.-Yeah, I think Indiana covered his eyes right?-Yes that's why he lived.-Speilberg's the best.-Yes, for a while all he did was make hits."
What,What action movies do you recommend me to see this summer?,"Personally I'd recommend Wonder Woman.-I'm a bit skeptical when it comes to that movie.-I really feel it's over hyped because it's a chick.-Honestly the movie is good, I won't lie to you it does a bit of the whole ""girl power"" crap but not so much where you get turned off.-So what is the movie about?-Origin story or something else?-Yup it's basically just like the comics.-Set in world war 2, meets that stranded pilot,etc.-You know how the story goes.-So she helps end world war 2?-Yeah, well she basically ends it herself, but the guys help too.-Seriously?-If it's overdone just let me know now so I don't waste my time.-No it's very enjoyable.-You won't even think about all the girl power junk in it if you are a fan of the comic and character."
What,What's the best action movie you have seen in the 10 years.,"That would have to be Crank.-That movie was constant action.-I would have to agree with you.-It was non-stop from the beginning to the end.-There were quite a bit of memorable scenes in that movie.-Jason Stathum has got to be one of the best action movie stars today.-He has been in a lot of good ones.-I wouldn't expect to see him in a romantic comedy anytime soon.-Are there any other action movies that stick out to you.-Definitely, I really like the Die Hard movies.-Some people consider the original Die Hard to be a Christmas movie.-That is funny.-I don't know about it being a Christmas movie, but it is one of the all-time best action movies."
Kong,Hong Kong action flicks are the best.,"John Woo is the top director in that genre, I think.-Hard Boiled was the first movie I saw in that genre.-That movie blew me away.-It really cemented Chow Yun-Fat as an action hero.-The fight sequences are shot like a ballet.-I agree.-The cinematography is what makes those films.-When did you first see it?-I watched it in the early nineties.-I hope John Woo keeps making them like that for a long time."
Hey,"Hey
Hey
Are you on your way
Yea i am hurrying up
Well stop taking your time
I am not
We gotta watch this new action movie set in china tonight
I know it is the hot thing
The story is supposed to be so good
Well we will watch it soon as i get there",
Sylvester,Are you a Sylvester Stallone fan?,"Oh yeah, I like Rambo alot.-Oh, I haven't seen that one.-He's a Commando who kills everyone in the forest.-It's always fun seeing those types of movies.-Yeah, it's cool how muscular he is.-I don't think the movie would have been as good with a skinny actor.-There were tons of action stars in the 80s who were massive.-Van Damme, Arnold were some of my favorites.-Those are my favorites as well.-They don't have many of those actors now."
Yo,"Yo bro
Yo man
What are you doing
Nothing much just reading some fanfic
Fanfic?","Yeah fan fiction
About what
About the star wars movies i love it
What is this one about
Its one that is about the video game the old republic"
Van,Can you give me a good Van Damme  movie to watch tonight?,"Sure, how about Timecop?-That sounds good.-Is it full of action?-Yes it is.-How bout another great action movie?-How about They Live?-Who directed that one?-John Carpenter
I thought he was a horror guy
He is, for the most part, but They Live is a great action film."
music,I want to watch an action movie that will make me think.,"Are you a fan of Guy Ritchie?-I loved the movie Snatch.-He made a great movie called Revolver.-That sounds interesting, is it about a gun?-Not quite.-There are definitely guns but it is more about enlightenment if you read between the lines.-How do they manage that?-The movie is about a man discovering that his ego controls him.-That sounds intense.-How does he resolve this?-He goes to his biggest enemy and apologizes to him."
James,Are you a fan of the James Bond movies?,"I could take them or leave them.-Me too.-There are so many.-I only saw a few.-The only one I remember was Die Another Day.-What year was that one out?-I think it was 2002.-I saw a few but don't even remember their names.-Was there one called Casino Royale?-Yes, that was out in 2006.-I saw parts of that movie."
Those,"I enjoy watching men in black
Me too
Those movies are awesome
And will smith is amazing
Yes he does a good job as an agent
I also like tommy lee jones
They are an unlikely pair
They sre but the work great together
I love the story line of the movie
Me too",
American,Did you enjoy American Sniper?,"Yes, that is one of my favorite action movies.-It had a lot of good drama, but the action scenes were very realistic.-I agree and the acting was top notch.-Clint Eastwood is a serious director.-He has done alot of good work for many years.-I was surprised at how big Bradley Cooper got for that role.-He must have trained a few hours a day to get in that kind of shape.-He is a really good actor.-Yeah, Clint knows how to cast a film."
Lucy,I just saw Lucy last night.,"I loved that movie.-Scarlett Johansson was great.-Yes, she sure was.-Who directed?-Luc Besson, from Taken.-He does good work.-I forget the other actors.-Morgan Freeman was the only one I recognized.-Wasn't that a wild ending?-Yes, Lucy dematerializes.-Such a waste of a body!"
Captain,Did you ever watch Captain America:Civil War?,"Yes, I did!-I couldn't believe that the Captain and Iron Man fought each other!-Personally, I was on Team Iron Man.-How about you?-Oh, definitely!-Captain America got a little evil there at the end.-Didn't he let his friend almost rip Tony's heart thing out?-I think so and then took his friend's side of Tony's.-That was just way wrong.-I used to like Captain America but now I am not so sure.-Me either.-I hope they make another movie where Iron Man kicks his butt!-I totally agree with that!-Iron Man needs to wipe the floor with him and teach him a serious lesson about right and wrong!-And a lesson about loyalty and friendship!"
Have,Have you seen any good action movie lately?,"Yes I have actually, I just saw Logan and thought it was pretty good.-Really?-I wanted to catch that one but couldnt Im planning to buy the DVD version.-You should, its a good movie althought I thought it was going to be better.-Oh I see, well dont spoil it for me.-Ok I won´t, and tell me, have you seen any good action movies lately?-Yes, I recently watched Wonder Woman and thought it was pretty good as well.-I liked that movie also, I think its the best DC movie so far.-Yeah it probably, im exited to watch the upcoming Justice League movie.-I know, I really want to watch it as well."
Hi,Hi there.,Hey.-Do you like watching movies?-Yeah sure who doesn't.-What about action movies?-Yeah I like those.-Do you have one you like the best?-I love Terminator.-That is a classic.-My all time favorite.
The,Did you ever see The Departed?,"Yes, that movie is insane.-That's probably one of the best action movies I have ever seen.-Yeah, the plot is awesome and so is the action.-I think I liked it so much because it seemed so real.-I agree.-I feel like that sort of thing actually goes on in real life.-The cast was so good, too.-Yeah there were quite a few A-list celebrities in that one.-The characters all had their own agenda and they were ruthless.-Yes, they were.-By the end of the movie my jaw was on the floor in awe."
What,"I miss the explosive scenes of the 90s
why would you miss that
Because it had something about it missing today
What was it missing
It is missing the bombastic set pieces
i think they were cheesy
But cheesy is good
How is it good
It is funny and lively
eh i think it plain sucks",
You,"So what is your opinion of the movie suicide squad
I actually liked it
You did?","Yeah i heard so many people do not like it
Why though
I think they hate the plot
i enjoyed it sorta too
Yeah it was nowhere near as bad as it was made out to be
Exactly
Just a victim of expectations"
Chuck,"Hey, man what's your favorite Chuck Norris movie?","Delta Force and you?-Me, too!-I love the chase scene in Beirut.-That's good, but when they storm the terrorist compound at the old school, that's better.-You have a point, I especially like when Chuck Norris shoots the radio after the one terrorist leaders offers to negotiate.-That is fun, and so's when the terrorist reinforcments charge the school, only to turn right around when Chuck triggers the explosive charges they rigged to it.-Yeah, that's funny, they're all gung-ho charging forward and then they are falling over each other to get away.-Yeah, but Lee Marvin has one of the best scences.-Which one?-The one where he has that captured guy call the terrorist in the plane, and he comes out yelling "" what"", and Marvin shoots him right between the eyes."
Cruise,I'm not a fan of all of Tom Cruise's works but I sure did like Top Gun.,"I didn't think that I would like it, but I did.-It's got the sweet music, sweet cinematography, sweet story.-And the twist!-I knew that something bad would need to happen to shake up the story but I wasn't expecting the death.-And how much it shook up Maverick - that brought it home to me.-I liked Charlie, too.-Maverick was so hot to prove himself to her but she took her own time, and I liked that.-And managed to break through his thick headedness and teach him a lesson!-Which took a lot!"
Transformers,Isn't the new Transformers movie coming out soon?,"This Friday I think.-What's even going on with these things anymore?-I can't keep track myself.-This is the fifth movie or something by now I think.-You can only film the destruction of the world so much.-To me, the movies are just too loud and dumb.-Yeah.-It was cute at first, but got old quick.-But they'll keep making them until people stop going.-Fat chance of that.-Too many fanboys.-I'll probably watch them all someday when I'm bored."
Fast,Have you seen Fast & Furious?,Yes I love that movie.-Me too.-The soundtrack makes it even better.-Agreed.-See You Again is one of my favorite songs.-Have you seen any other action movies lately?-I loved Catch Me If You Can.-I remember that movie had a great cast.-Who was in it again?-It had Tom Hanks and Leonardo DiCaprico.-Oh yeah!-They are both so talented.
Vin,Have you seen any of Vin Diesel's movie?,"Oh yes, I love the Fast and the Furious and its sequels
I really liked the first three of those movies.-The car chases were so exciting that I could not look away.-Dwayne Johnson, The Rock, is also in several of those films.-I think he's great.-He can do action and he can do comedy.-He was great in San Andreas.-Disaster movies are some of my favorite action films.-Did you like The Day after Tomorrow?-That movie had excellent special effects.-I've never seen it, but maybe I will check it out."
Hot,Did you ever see Hot Fuzz?,"Oh, yeah!-What a great flick!-Yeah, just the righ mix of action and comedy.-And what a great villian.-Timmothy Dalton?-Yeah, I thought I'd never forgive him for his portral of Bond.-That was pretty lacluster.-You can say that again!-He plays the villian well, though."
Mummy,I heard The Mummy was filled with action scenes.,"Oh yeah the special effects were great.-How did Tom Cruise do?-Hes always good in these types of movies.-I am surprised he would do this kind of film
Why he does action films all the time.-Yeah but a remake that wasnt bad?-You always want to put your spin on things.-I think he made the role his.-It did terrible at the box office."
Goodfellas,Have you ever seen the movie Goodfellas?,"Is that the one with Robert De Niro and Joe Pesci?-Yes, The story about the 3 mafia guys.-I love that movie, its really intense.-It definitely is, its one of my favorite mafia movies.-Do you remember the part in the bar?-You mean when Tommy shoots Spider?-Or the part with Billy Bats?-The part with Spider, that was brutal.-He basically shot the guy for no reason.-He was such a hot head he couldn't control his anger."
Have,Have you seen suicide squad?,"Nope have not had a chance to see it yet
I would avoid it if i were you
Why
Just trust me on that
Well tell me why
Because it is really bad the plot is shameful
Nothing like the comics?-Not at all such a letdown
Well now i am just saddened"
Have,Have you seen salt?,"No but i always wanted to
I saw it, it was pretty good
Im a big fan of angelina jo lie
Then you need to watch this movie you will love it
I really need to
Its really good
Ill have to find it and watch it
You wont be disappointed
Great"
Terminator,"Do you prefer Terminator 1, or 2?","I love part 2, but part 1 is the best.-Why is that?-I prefer Arnold as a bad guy.-It was cool to see him not as the hero.-I agree.-But, part 2 was pretty cool.-Yeah, that liquid bad guy was cool.-Part 1 had a cooler story.-Plus, that night club scene was terrific.-Do you like other Arnold movies?-Yeah, Predator, Kindergarten Cop, Conan are all amazing.-They are.-I love his movies."
Taken,How many Taken movies were there?,"Not sure.-I know I only saw two, but don't know if they made a third.-I'll have to Google that and see.-Don't know if I'd watch another.-They can only go so far with those movies.-That's true.-Liam Neeson is a fantastic actor though.-He is very believable.-Yes, he plays his parts great.-I wouldn't mess with him.-Me either."
The,The all-time best action movie ever made is actually a remake.,"It's The Magnificent Seven.-Oh yeah, I love that flick.-Seven heroes ride into town, and save all the little people.-That's true, but first you get to know them one by one.-Yul Brenner is introduced as the cagey old gunslinger Chris Adams.-Un-huh.-Then Steve McQueen plays Vin Tanner, who loses his shirt gambling, and signs up.-Then there's Charles Bronson, playing Bernardo O'Reilly, who's down and out.-No, you left out Brad Dexter, who plays the conniving Harry Luck.-Okay, then we see James Coburn demonstrate his knife and gun skills as Britt.-Great stuff.-Next we meet gentleman Robert Vaughn, plays Lee, who's afraid he's a coward.-And the last to join up is the tag-a-long kid Chico, played by Horst Buchholtz, who wants morethan anything to be a gunslinger.-Then they all ride into town, and save the day."
